MonthYear,Date,Year,Hour,CensusTract_2010,NumberOfReports,CensusTract_2010_ID,CensusTract_2010_NAME,CountyName_2010,GEOID_list,CensusBlockID_list,Zipcode_list,Ticket_list
May-2020,05/29/2020,2020,11 AM,1459.0,1,145900,Census Tract 1459,Queens County,[360811459001001],[1001],[11358],['QL20003245']
May-2020,05/29/2020,2020,12 PM,219.0,1,21900,Census Tract 219,Queens County,[360810219001004],[1004],[11378],['QL20003246']
May-2020,05/29/2020,2020,03 PM,1621.0,1,162100,Census Tract 1621,Queens County,[360811621002008],[2008],[11426],['QL20003249']
May-2020,05/28/2020,2020,09 AM,93.0,1,9300,Census Tract 93,New York County,[360610093002000],[2000],[10011],['ML20006567']
May-2020,05/28/2020,2020,11 AM,76.0,1,7600,Census Tract 76,New York County,[360610076002004],[2004],[10016],['ML20006570']
May-2020,05/28/2020,2020,02 PM,111.0,1,11100,Census Tract 111,New York County,[360610111001001],[1001],[10018],['ML20006577']
May-2020,05/28/2020,2020,11 AM,907.0,1,90700,Census Tract 907,Queens County,[360810907001001],[1001],[11356],['QL20003234']
May-2020,05/28/2020,2020,11 AM,163.0,1,16300,Census Tract 163,Queens County,[360810163002002],[2002],[11377],['QL20003236']
May-2020,05/28/2020,2020,08 AM,133.04,1,13304,Census Tract 133.04,Westchester County,[361190133042003],[2003],[10562],['WL20005144']
May-2020,05/28/2020,2020,09 AM,109.03,1,10903,Census Tract 109.03,Westchester County,[361190109034005],[4005],[10607],['WL20005145']
May-2020,05/28/2020,2020,09 AM,84.03,1,8403,Census Tract 84.03,Westchester County,[361190084032023],[2023],[10528],['WL20005147']
May-2020,05/28/2020,2020,09 AM,50.01,1,5001,Census Tract 50.01,Westchester County,[361190050011033],[1033],[10583],['WL20005148']
May-2020,05/28/2020,2020,10 AM,84.03,1,8403,Census Tract 84.03,Westchester County,[361190084032021],[2021],[10528],['WL20005149']
May-2020,05/28/2020,2020,10 AM,67.0,1,6700,Census Tract 67,Westchester County,[361190067004005],[4005],[10804],['WL20005150']
May-2020,05/28/2020,2020,12 PM,132.01,1,13201,Census Tract 132.01,Westchester County,[361190132012027],[2027],[10510],['WL20005156']
May-2020,05/28/2020,2020,12 PM,134.0,1,13400,Census Tract 134,Westchester County,[361190134003000],[3000],[10562],['WL20005159']
May-2020,05/28/2020,2020,02 PM,131.04,1,13104,Census Tract 131.04,Westchester County,[361190131044016],[4016],[10514],['WL20005162']
May-2020,05/28/2020,2020,02 PM,139.0,2,13900,Census Tract 139,Westchester County,"[361190139003003, 361190139003001]","[3003, 3001]","[10520, 10520]","['WL20005164', 'WL20005165']"
May-2020,05/28/2020,2020,11 AM,345.0,1,34500,Census Tract 345,Bronx County,[360050345001003],[1003],[10471],['XL20005806']
May-2020,05/28/2020,2020,11 AM,118.0,1,11800,Census Tract 118,Bronx County,[360050118003001],[3001],[10465],['XL20005807']
May-2020,05/28/2020,2020,11 AM,398.0,1,39800,Census Tract 398,Bronx County,[360050398003001],[3001],[10466],['XL20005808']
May-2020,05/27/2020,2020,07 AM,32.0,1,3200,Census Tract 32,New York County,[360610032006000],[6000],[10009],['ML20006533']
May-2020,05/27/2020,2020,09 AM,129.0,1,12900,Census Tract 129,New York County,[360610129001008],[1008],[10036],['ML20006534']
May-2020,05/27/2020,2020,03 PM,36.02,1,3602,Census Tract 36.02,New York County,[360610036022001],[2001],[10003],['ML20006544']
May-2020,05/27/2020,2020,10 AM,67.0,1,6700,Census Tract 67,Westchester County,[361190067004002],[4002],[10804],['WL20005125']
May-2020,05/27/2020,2020,01 PM,391.0,1,39100,Census Tract 391,Bronx County,[360050391005000],[5000],[10458],['XL20005787']
May-2020,05/26/2020,2020,10 AM,1291.03,1,129103,Census Tract 1291.03,Queens County,[360811291032001],[2001],[11364],['QL20003214']
May-2020,05/26/2020,2020,10 AM,55.0,1,5500,Census Tract 55,Westchester County,[361190055003045],[3045],[10803],['WL20005090']
May-2020,05/26/2020,2020,11 AM,102.0,1,10200,Census Tract 102,Westchester County,[361190102001008],[1008],[10706],['WL20005092']
May-2020,05/26/2020,2020,04 PM,66.0,1,6600,Census Tract 66,Westchester County,[361190066005000],[5000],[10804],['WL20005112']
May-2020,05/26/2020,2020,10 AM,337.0,1,33700,Census Tract 337,Bronx County,[360050337003005],[3005],[10471],['XL20005758']
May-2020,05/25/2020,2020,07 PM,779.02,1,77902,Census Tract 779.02,Queens County,[360810779023005],[3005],[11367],['QL20003207']
May-2020,05/25/2020,2020,11 AM,72.0,1,7200,Census Tract 72,Westchester County,[361190072003007],[3007],[10543],['WL20005077']
May-2020,05/25/2020,2020,06 PM,139.0,1,13900,Census Tract 139,Westchester County,[361190139004004],[4004],[10520],['WL20005085']
May-2020,05/24/2020,2020,02 AM,121.0,1,12100,Census Tract 121,New York County,[360610121006001],[6001],[10036],['ML20006435']
May-2020,05/24/2020,2020,04 PM,92.0,1,9200,Census Tract 92,New York County,[360610092001005],[1005],[10017],['ML20006448']
May-2020,05/24/2020,2020,09 AM,919.0,1,91900,Census Tract 919,Queens County,[360810919001000],[1000],[11354],['QL20003186']
May-2020,05/24/2020,2020,02 PM,997.05,1,99705,Census Tract 997.05,Queens County,[360810997051017],[1017],[11360],['QL20003192']
May-2020,05/24/2020,2020,01 PM,67.0,1,6700,Census Tract 67,Westchester County,[361190067003001],[3001],[10804],['WL20005067']
May-2020,05/24/2020,2020,09 PM,50.01,1,5001,Census Tract 50.01,Westchester County,[361190050011019],[1019],[10583],['WL20005070']
May-2020,05/23/2020,2020,09 PM,143.0,1,14300,Census Tract 143,New York County,[360610143001033],[1033],[10021],['ML20006429']
May-2020,05/23/2020,2020,06 AM,1033.0,1,103300,Census Tract 1033,Queens County,[360811033001001],[1001],[11357],['QL20003170']
May-2020,05/23/2020,2020,10 AM,1409.01,1,140901,Census Tract 1409.01,Queens County,[360811409011001],[1001],[11364],['QL20003172']
May-2020,05/23/2020,2020,11 AM,69.0,1,6900,Census Tract 69,Westchester County,[361190069004010],[4010],[10538],['WL20005045']
May-2020,05/23/2020,2020,03 PM,13.01,1,1301,Census Tract 13.01,Westchester County,[361190013012004],[2004],[10705],['WL20005050']
May-2020,05/23/2020,2020,05 PM,47.0,1,4700,Census Tract 47,Westchester County,[361190047001034],[1034],[10708],['WL20005053']
May-2020,05/23/2020,2020,01 PM,462.01,1,46201,Census Tract 462.01,Bronx County,[360050462011034],[1034],[10475],['XL20005710']
May-2020,05/22/2020,2020,12 AM,1571.02,1,157102,Census Tract 1571.02,Queens County,[360811571021002],[1002],[11426],['QL20003157']
May-2020,05/22/2020,2020,10 AM,172.0,1,17200,Census Tract 172,New York County,[360610172005000],[5000],[10029],['ML20006382']
May-2020,05/22/2020,2020,12 PM,189.0,1,18900,Census Tract 189,New York County,[360610189005001],[5001],[10025],['ML20006388']
May-2020,05/22/2020,2020,10 AM,929.0,1,92900,Census Tract 929,Queens County,[360810929001015],[1015],[11356],['QL20003162']
May-2020,05/22/2020,2020,12 PM,997.01,1,99701,Census Tract 997.01,Queens County,[360810997012003],[2003],[11360],['QL20003164']
May-2020,05/22/2020,2020,09 AM,105.0,1,10500,Census Tract 105,Westchester County,[361190105001023],[1023],[10522],['WL20005021']
May-2020,05/22/2020,2020,09 AM,21.05,1,2105,Census Tract 21.05,Westchester County,[361190021052021],[2021],[10710],['WL20005022']
May-2020,05/22/2020,2020,09 AM,85.0,1,8500,Census Tract 85,Westchester County,[361190085001033],[1033],[10528],['WL20005023']
May-2020,05/22/2020,2020,12 PM,105.0,1,10500,Census Tract 105,Westchester County,[361190105002016],[2016],[10522],['WL20005025']
May-2020,05/22/2020,2020,12 PM,147.03,1,14703,Census Tract 147.03,Westchester County,[361190147033028],[3028],[10567],['WL20005026']
May-2020,05/22/2020,2020,01 PM,83.02,1,8302,Census Tract 83.02,Westchester County,[361190083024005],[4005],[10573],['WL20005028']
May-2020,05/22/2020,2020,01 PM,26.0,1,2600,Census Tract 26,Westchester County,[361190026002037],[2037],[10550],['WL20005029']
May-2020,05/22/2020,2020,01 PM,84.01,1,8401,Census Tract 84.01,Westchester County,[361190084011007],[1007],[10528],['WL20005031']
May-2020,05/22/2020,2020,04 PM,113.0,1,11300,Census Tract 113,Westchester County,[361190113002015],[2015],[10533],['WL20005036']
May-2020,05/22/2020,2020,05 PM,20.0,1,2000,Census Tract 20,Westchester County,[361190020003000],[3000],[10710],['WL20005037']
May-2020,05/22/2020,2020,05 PM,113.0,1,11300,Census Tract 113,Westchester County,[361190113002015],[2015],[10533],['WL20005039']
May-2020,05/22/2020,2020,06 AM,267.01,1,26701,Census Tract 267.01,Bronx County,[360050267012000],[2000],[10468],['XL20005683']
May-2020,05/22/2020,2020,10 AM,181.02,1,18102,Census Tract 181.02,Bronx County,[360050181024000],[4000],[10456],['XL20005686']
May-2020,05/22/2020,2020,12 PM,408.0,1,40800,Census Tract 408,Bronx County,[360050408002001],[2001],[10466],['XL20005691']
May-2020,05/21/2020,2020,04 AM,62.0,1,6200,Census Tract 62,New York County,[360610062001001],[1001],[10010],['ML20006337']
May-2020,05/21/2020,2020,02 AM,93.0,1,9300,Census Tract 93,Westchester County,[361190093003002],[3002],[10601],['WL20004998']
May-2020,05/21/2020,2020,10 AM,92.0,1,9200,Census Tract 92,New York County,[360610092001012],[1012],[10017],['ML20006343']
May-2020,05/21/2020,2020,07 PM,94.0,1,9400,Census Tract 94,New York County,[360610094001001],[1001],[10017],['ML20006364']
May-2020,05/21/2020,2020,09 AM,869.0,1,86900,Census Tract 869,Queens County,[360810869002011],[2011],[11354],['QL20003142']
May-2020,05/21/2020,2020,11 AM,171.0,1,17100,Census Tract 171,Queens County,[360810171001015],[1015],[11104],['QL20003145']
May-2020,05/21/2020,2020,11 AM,35.0,1,3500,Census Tract 35,Westchester County,[361190035002005],[2005],[10550],['WL20005003']
May-2020,05/21/2020,2020,12 PM,85.0,1,8500,Census Tract 85,Westchester County,[361190085002002],[2002],[10580],['WL20005004']
May-2020,05/21/2020,2020,02 PM,114.0,1,11400,Census Tract 114,Westchester County,[361190114001031],[1031],[10591],['WL20005008']
May-2020,05/21/2020,2020,12 PM,41.0,1,4100,Census Tract 41,Bronx County,[360050041002000],[2000],[10454],['XL20005660']
May-2020,05/21/2020,2020,12 PM,181.02,1,18102,Census Tract 181.02,Bronx County,[360050181024000],[4000],[10456],['XL20005662']
May-2020,05/20/2020,2020,12 AM,105.0,1,10500,Census Tract 105,Westchester County,[361190105005002],[5002],[10522],['WL20004976']
May-2020,05/20/2020,2020,07 PM,143.0,1,14300,Census Tract 143,New York County,[360610143001033],[1033],[10065],['ML20006326']
May-2020,05/20/2020,2020,10 AM,869.0,1,86900,Census Tract 869,Queens County,[360810869002014],[2014],[11354],['QL20003132']
May-2020,05/20/2020,2020,10 AM,46.0,1,4600,Census Tract 46,Westchester County,[361190046001007],[1007],[10708],['WL20004981']
May-2020,05/20/2020,2020,01 PM,131.04,1,13104,Census Tract 131.04,Westchester County,[361190131044006],[4006],[10514],['WL20004982']
May-2020,05/20/2020,2020,03 PM,75.0,1,7500,Census Tract 75,Westchester County,[361190075001015],[1015],[10580],['WL20004991']
May-2020,05/20/2020,2020,06 PM,93.0,1,9300,Census Tract 93,Westchester County,[361190093003000],[3000],[10601],['WL20004993']
May-2020,05/20/2020,2020,09 AM,391.0,1,39100,Census Tract 391,Bronx County,[360050391005000],[5000],[10458],['XL20005637']
May-2020,05/20/2020,2020,11 AM,42.0,1,4200,Census Tract 42,Bronx County,[360050042006003],[6003],[10473],['XL20005642']
