MonthYear,CensusTract_2010,TotalReports,CensusTract_2010_ID,CensusTract_2010_NAME,CountyName_2010,GEOID_SCT,CensusBlockID_list,Zipcode_list,Ticket_list,Classification_list,Month,Year
June-2020,37.0,1,3700,Census Tract 37,New York County,36061003700,[3011],[10013],['ML20006839'],['P'],6,2020
June-2020,34.0,1,3400,Census Tract 34,New York County,36061003400,[1001],[10009],['ML20006678'],['P'],6,2020
June-2020,25.0,1,2500,Census Tract 25,New York County,36061002500,[1000],[10038],['ML20006761'],['P'],6,2020
June-2020,426.0,1,42600,Census Tract 426,Bronx County,36005042600,[2001],[10466],['XL20005916'],['M'],6,2020
June-2020,391.0,1,39100,Census Tract 391,Bronx County,36005039100,[5000],[10458],['XL20005954'],['P'],6,2020
June-2020,387.0,1,38700,Census Tract 387,Bronx County,36005038700,[2002],[10458],['XL20005913'],['P'],6,2020
June-2020,385.0,2,38500,Census Tract 385,Bronx County,36005038500,"[1009, 1007]","[10458, 10458]","['XL20005903', 'XL20005908']","['P', 'P']",6,2020
June-2020,378.0,1,37800,Census Tract 378,Bronx County,36005037800,[1004],[10467],['XL20006029'],['M'],6,2020
June-2020,369.02,1,36902,Census Tract 369.02,Bronx County,36005036902,[2003],[10457],['XL20006063'],['P'],6,2020
June-2020,337.0,2,33700,Census Tract 337,Bronx County,36005033700,"[1002, 1001]","[10471, 10471]","['XL20006120', 'XL20006123']","['P', 'M']",6,2020
June-2020,286.0,1,28600,Census Tract 286,Bronx County,36005028600,[1004],[10461],['XL20006099'],['M'],6,2020
June-2020,274.01,1,27401,Census Tract 274.01,Bronx County,36005027401,[3004],[10465],['XL20006110'],['P'],6,2020
June-2020,229.01,1,22901,Census Tract 229.01,Bronx County,36005022901,[3001],[10457],['XL20006108'],['P'],6,2020
June-2020,184.0,1,18400,Census Tract 184,Bronx County,36005018400,[4007],[10461],['XL20006022'],['M'],6,2020
June-2020,167.0,1,16700,Census Tract 167,Bronx County,36005016700,[1001],[10457],['XL20006058'],['P'],6,2020
June-2020,129.01,1,12901,Census Tract 129.01,Bronx County,36005012901,[2003],[10459],['XL20005963'],['P'],6,2020
June-2020,83.0,1,8300,Census Tract 83,Bronx County,36005008300,[2001],[10455],['XL20006142'],['P'],6,2020
June-2020,79.0,1,7900,Census Tract 79,Bronx County,36005007900,[1000],[10455],['XL20006139'],['P'],6,2020
June-2020,72.0,1,7200,Census Tract 72,Bronx County,36005007200,[1001],[10472],['XL20005938'],['P'],6,2020
June-2020,64.0,1,6400,Census Tract 64,Bronx County,36005006400,[3000],[10472],['XL20005937'],['M'],6,2020
June-2020,50.01,1,5001,Census Tract 50.01,Bronx County,36005005001,[4000],[10472],['XL20005957'],['M'],6,2020
June-2020,39.0,2,3900,Census Tract 39,Bronx County,36005003900,"[2001, 3002]","[10454, 10454]","['XL20006129', 'XL20006088']","['P', 'P']",6,2020
May-2020,104.0,2,10400,Census Tract 104,Fairfield County,90010104003,"[3012, 3012]","[10573, 10573]","['WL20004580', 'WL20004536']","['P', 'M']",5,2020
May-2020,148.11,1,14811,Census Tract 148.11,Westchester County,36119014811,[2010],[10598],['WL20004555'],['M'],5,2020
May-2020,148.1,1,14810,Census Tract 148.10,Westchester County,36119014810,[1007],[10598],['WL20004958'],['M'],5,2020
May-2020,148.06,1,14806,Census Tract 148.06,Westchester County,36119014806,[5000],[10598],['WL20004660'],['M'],5,2020
May-2020,148.04,1,14804,Census Tract 148.04,Westchester County,36119014804,[5023],[10547],['WL20004689'],['M'],5,2020
May-2020,147.03,1,14703,Census Tract 147.03,Westchester County,36119014703,[3028],[10567],['WL20005026'],['M'],5,2020
May-2020,139.0,3,13900,Census Tract 139,Westchester County,36119013900,"[3003, 3001, 4004]","[10520, 10520, 10520]","['WL20005164', 'WL20005165', 'WL20005085']","['P', 'M', 'M']",5,2020
May-2020,134.0,1,13400,Census Tract 134,Westchester County,36119013400,[3000],[10562],['WL20005159'],['P'],5,2020
May-2020,133.04,1,13304,Census Tract 133.04,Westchester County,36119013304,[2003],[10562],['WL20005144'],['P'],5,2020
May-2020,133.01,1,13301,Census Tract 133.01,Westchester County,36119013301,[2005],[10562],['WL20004668'],['M'],5,2020
May-2020,132.01,1,13201,Census Tract 132.01,Westchester County,36119013201,[2027],[10510],['WL20005156'],['P'],5,2020
May-2020,131.04,2,13104,Census Tract 131.04,Westchester County,36119013104,"[4016, 4006]","[10514, 10514]","['WL20005162', 'WL20004982']","['M', 'M']",5,2020
May-2020,123.04,1,12304,Census Tract 123.04,Westchester County,36119012304,[2006],[10504],['WL20004595'],['M'],5,2020
May-2020,123.03,1,12303,Census Tract 123.03,Westchester County,36119012303,[3004],[10504],['WL20004814'],['P'],5,2020
May-2020,119.02,1,11902,Census Tract 119.02,Westchester County,36119011902,[2015],[10595],['WL20004802'],['M'],5,2020
May-2020,115.0,1,11500,Census Tract 115,Westchester County,36119011500,[3003],[10591],['WL20004787'],['M'],5,2020
May-2020,114.0,4,11400,Census Tract 114,Westchester County,36119011400,"[1031, 2004, 4018, 4018]","[10591, 10591, 10591, 10591]","['WL20005008', 'WL20004844', 'WL20004794', 'WL20004801']","['M', 'M', 'M', 'M']",5,2020
May-2020,113.0,5,11300,Census Tract 113,Westchester County,36119011300,"[3014, 2015, 2015, 5007, 1035]","[10533, 10533, 10533, 10533, 10533]","['WL20005200', 'WL20005036', 'WL20005039', 'WL20004774', 'WL20004585']","['M', 'M', 'M', 'P', 'P']",5,2020
May-2020,112.0,1,11200,Census Tract 112,Westchester County,36119011200,[4044],[10523],['WL20004955'],['M'],5,2020
May-2020,111.01,1,11101,Census Tract 111.01,Westchester County,36119011101,[3011],[10607],['WL20004822'],['M'],5,2020
May-2020,110.0,1,11000,Census Tract 110,Westchester County,36119011000,[1018],[10523],['WL20004840'],['M'],5,2020
May-2020,109.03,1,10903,Census Tract 109.03,Westchester County,36119010903,[4005],[10607],['WL20005145'],['M'],5,2020
May-2020,108.01,3,10801,Census Tract 108.01,Westchester County,36119010801,"[2010, 1017, 2002]","[10583, 10530, 10530]","['WL20004718', 'WL20004636', 'WL20004548']","['M', 'M', 'M']",5,2020
May-2020,105.0,5,10500,Census Tract 105,Westchester County,36119010500,"[1023, 2016, 5002, 5004, 4001]","[10522, 10522, 10522, 10522, 10522]","['WL20005021', 'WL20005025', 'WL20004976', 'WL20004886', 'WL20004845']","['M', 'M', 'M', 'M', 'M']",5,2020
May-2020,104.0,1,10400,Census Tract 104,Westchester County,36119010400,[2003],[10522],['WL20004576'],['P'],5,2020
May-2020,102.0,1,10200,Census Tract 102,Westchester County,36119010200,[1008],[10706],['WL20005092'],['M'],5,2020
May-2020,101.0,2,10100,Census Tract 101,Westchester County,36119010100,"[3035, 3035]","[10583, 10583]","['WL20004739', 'WL20004699']","['P', 'M']",5,2020
May-2020,100.0,2,10000,Census Tract 100,Westchester County,36119010000,"[4019, 1020]","[10583, 10583]","['WL20004724', 'WL20004695']","['M', 'M']",5,2020
May-2020,99.0,1,9900,Census Tract 99,Westchester County,36119009900,[3000],[10583],['WL20004570'],['M'],5,2020
May-2020,98.0,2,9800,Census Tract 98,Westchester County,36119009800,"[1010, 1006]","[10583, 10583]","['WL20004789', 'WL20004530']","['M', 'M']",5,2020
May-2020,97.03,1,9703,Census Tract 97.03,Westchester County,36119009703,[4001],[10605],['WL20004557'],['M'],5,2020
May-2020,96.0,1,9600,Census Tract 96,Westchester County,36119009600,[4014],[10606],['WL20004666'],['M'],5,2020
May-2020,94.0,1,9400,Census Tract 94,Westchester County,36119009400,[3006],[10605],['WL20004912'],['M'],5,2020
May-2020,93.0,2,9300,Census Tract 93,Westchester County,36119009300,"[3002, 3000]","[10601, 10601]","['WL20004998', 'WL20004993']","['M', 'M']",5,2020
May-2020,85.0,5,8500,Census Tract 85,Westchester County,36119008500,"[1033, 2002, 2008, 2007, 3076]","[10528, 10580, 10528, 10580, 10580]","['WL20005023', 'WL20005004', 'WL20004936', 'WL20004786', 'WL20004641']","['M', 'M', 'M', 'M', 'M']",5,2020
May-2020,84.03,2,8403,Census Tract 84.03,Westchester County,36119008403,"[2023, 2021]","[10528, 10528]","['WL20005147', 'WL20005149']","['M', 'M']",5,2020
May-2020,84.01,1,8401,Census Tract 84.01,Westchester County,36119008401,[1007],[10528],['WL20005031'],['M'],5,2020
May-2020,83.02,2,8302,Census Tract 83.02,Westchester County,36119008302,"[4005, 4020]","[10573, 10573]","['WL20005028', 'WL20004631']","['M', 'M']",5,2020
May-2020,82.0,1,8200,Census Tract 82,Westchester County,36119008200,[2005],[10573],['WL20004862'],['M'],5,2020
May-2020,79.0,1,7900,Census Tract 79,Westchester County,36119007900,[2000],[10573],['WL20004963'],['P'],5,2020
May-2020,77.0,2,7700,Census Tract 77,Westchester County,36119007700,"[3006, 4012]","[10580, 10580]","['WL20004847', 'WL20004615']","['M', 'M']",5,2020
May-2020,76.0,2,7600,Census Tract 76,Westchester County,36119007600,"[2021, 4005]","[10580, 10580]","['WL20004953', 'WL20004691']","['M', 'P']",5,2020
May-2020,75.0,1,7500,Census Tract 75,Westchester County,36119007500,[1015],[10580],['WL20004991'],['P'],5,2020
May-2020,74.02,1,7402,Census Tract 74.02,Westchester County,36119007402,[3028],[10543],['WL20004962'],['M'],5,2020
May-2020,73.0,1,7300,Census Tract 73,Westchester County,36119007300,[2012],[10543],['WL20004811'],['M'],5,2020
May-2020,72.0,1,7200,Census Tract 72,Westchester County,36119007200,[3007],[10543],['WL20005077'],['P'],5,2020
May-2020,71.0,2,7100,Census Tract 71,Westchester County,36119007100,"[3014, 3004]","[10538, 10538]","['WL20004896', 'WL20004727']","['M', 'M']",5,2020
May-2020,70.0,2,7000,Census Tract 70,Westchester County,36119007000,"[4020, 4027]","[10538, 10538]","['WL20004813', 'WL20004663']","['M', 'M']",5,2020
May-2020,69.0,2,6900,Census Tract 69,Westchester County,36119006900,"[4010, 3033]","[10538, 10538]","['WL20005045', 'WL20004669']","['M', 'P']",5,2020
May-2020,68.02,2,6802,Census Tract 68.02,Westchester County,36119006802,"[3004, 2001]","[10804, 10804]","['WL20004942', 'WL20004865']","['M', 'P']",5,2020
May-2020,67.0,6,6700,Census Tract 67,Westchester County,36119006700,"[4005, 4002, 3001, 1025, 2021, 3004]","[10804, 10804, 10804, 10538, 10804, 10804]","['WL20005150', 'WL20005125', 'WL20005067', 'WL20004766', 'WL20004670', 'WL20004600']","['P', 'M', 'M', 'M', 'P', 'M']",5,2020
May-2020,66.0,2,6600,Census Tract 66,Westchester County,36119006600,"[5000, 4003]","[10804, 10803]","['WL20005112', 'WL20004849']","['M', 'P']",5,2020
