,avg_houshold_size,nonfamily_housholds%,lonely_housholder%,lonely_housholder_over65%,housholders_grandparents_responsible_for_grandchildren%,geoid,unemployed%,median_houshold_income,mean_houshold_income,total_housing_units,occupied_housing_units%,vacant_housing_units%,total_population,median_age,not_us_citizen%
4244,2.54,35.65737051792828,30.57768924302789,13.147410358565734,0.0,36103158709,3.4,101439,105632,1042,96.4,3.6,2559,45.1,1.6803438843298164
4245,3.14,27.8264497288277,22.027534418022533,11.055486024196913,0.6257822277847309,36103158804,4.5,100731,104364,2484,96.5,3.5,7561,37.7,9.892871313318343
4246,3.24,20.379965457685664,15.803108808290155,12.262521588946461,0.0,36103159107,5.6,103654,112423,1186,97.6,2.4,3752,42.0,6.28997867803838
4247,3.23,18.84377758164166,17.740511915269195,11.562224183583407,3.6187113857016766,36103159108,5.9,107981,122786,2360,96.0,4.0,7325,39.2,2.006825938566553
4248,4.38,11.677631578947368,9.292763157894738,3.0427631578947367,5.180921052631579,36103122406,13.5,69457,89931,1402,86.7,13.3,5341,33.2,14.753791424826812
4249,3.3,23.21734169994296,20.079863091842558,8.784940102681121,4.734740444951512,36103122601,8.8,107303,111282,1902,92.2,7.8,5811,36.5,3.080364825331268
4250,3.14,18.760757314974178,14.457831325301207,6.196213425129089,0.0,36103122706,6.5,100192,105693,1197,97.1,2.9,3646,44.1,4.909489851892485
4251,2.63,34.20829805249788,29.043183742591022,14.648602878916172,0.0,36103123101,4.5,83648,116329,1249,94.6,5.4,3154,45.9,2.346227013316424
4252,3.23,35.81661891117478,34.38395415472779,17.621776504297994,1.4326647564469914,36103123201,5.8,58409,88085,735,95.0,5.0,2261,35.0,25.033171163202123
4253,3.52,23.11023622047244,18.700787401574804,9.448818897637793,3.622047244094488,36103123702,3.8,76306,88078,2686,94.6,5.4,8960,39.9,17.377232142857142
4254,2.79,18.974358974358974,17.35042735042735,10.085470085470083,0.0,36103146902,2.3,149744,190745,1232,95.0,5.0,3687,53.6,1.0848928668294007
4255,2.26,49.44674965421854,46.19640387275242,20.816044260027663,1.0373443983402488,36103124401,7.0,82222,99665,1533,94.3,5.7,3546,47.7,2.030456852791878
4256,2.56,34.62050599201065,33.20017754105637,25.122059476253884,0.0,36103134906,10.0,98464,129437,2253,100.0,0.0,5985,50.1,1.6541353383458646
4257,3.01,19.7592778335005,17.251755265797392,14.543630892678035,1.5045135406218657,36103135004,3.9,169659,292610,1226,81.3,18.7,3037,48.3,1.51465261771485
4258,2.7,29.801777170198225,27.27272727272727,14.080656185919347,0.0,36103135303,3.3,127171,139551,1488,98.3,1.7,3945,41.6,1.7743979721166032
4259,3.98,18.8399835458659,15.13780337309749,8.103661044837516,0.0,36103146003,3.0,83775,98854,2524,96.3,3.7,9753,34.1,15.164564749307905
4260,4.49,12.03125,8.28125,2.34375,1.09375,36103146102,8.3,86563,93855,661,96.8,3.2,2872,32.4,28.342618384401113
4261,4.02,22.871046228710465,20.559610705596107,12.287104622871047,3.953771289537713,36103146105,5.8,75100,83749,1837,89.5,10.5,6657,36.0,31.17019678533874
4262,3.97,19.80461811722913,16.962699822380106,10.213143872113676,1.4209591474245116,36103146202,4.9,87619,103317,1209,93.1,6.9,4501,32.2,15.50766496334148
4263,3.71,25.864661654135343,22.781954887218053,3.9097744360902262,8.796992481203008,36103146203,2.6,57262,82965,1547,86.0,14.0,4957,36.0,27.052652814202137
4264,1.74,61.55115511551155,57.755775577557756,30.61056105610561,0.0,36103146300,3.9,61600,83808,1278,94.8,5.2,2172,56.7,5.801104972375691
4265,3.83,20.906200317965023,15.580286168521464,5.087440381558029,4.689984101748808,36103146403,6.6,62014,76166,1364,92.2,7.8,4816,35.0,20.701827242524917
4266,3.71,31.681034482758623,23.16810344827586,10.344827586206897,1.8318965517241377,36103146404,2.6,70139,82623,1004,92.4,7.6,3472,36.5,21.342165898617512
4267,2.95,34.48577680525164,28.140043763676147,18.51203501094092,3.851203501094093,36103147200,6.7,68312,99304,2488,91.8,8.2,6788,35.6,14.098408956982912
4268,2.76,32.79022403258656,26.883910386965372,9.674134419551935,2.9531568228105907,36103146608,3.6,90250,97530,1054,93.2,6.8,2706,40.3,2.5868440502586845
4269,2.74,22.51356238698011,21.60940325497287,9.945750452079565,1.4466546112115732,36103146611,1.5,84844,108482,1208,91.6,8.4,3028,39.3,2.0475561426684283
4270,3.3,18.786692759295498,16.568819308545336,7.371167645140248,2.674494455316373,36103146612,8.2,124821,121632,1639,93.5,6.5,5072,40.4,0.6703470031545742
4271,3.23,14.588235294117649,12.470588235294118,9.411764705882351,0.0,36103147503,4.3,134219,188786,510,83.3,16.7,1373,46.1,0.43699927166788055
4272,2.8,25.944584382871536,20.151133501259448,15.743073047858939,2.518891687657431,36103147601,1.7,115417,135812,837,94.9,5.1,2327,44.1,1.675977653631285
4273,2.87,28.625093914350114,24.117205108940645,12.77235161532682,2.7047332832456803,36117021700,6.4,55410,62559,1504,88.5,11.5,3835,40.3,0.5997392438070405
4274,2.41,29.628164556962034,21.321202531645568,11.39240506329114,2.45253164556962,36117021000,6.2,56671,64756,2955,85.5,14.5,6484,49.0,0.9716224552745218
4275,2.27,44.7244094488189,36.69291338582677,16.430446194225723,1.3123359580052494,36117021200,5.2,36967,54278,1981,96.2,3.8,4549,38.0,1.0551769619696636
4276,2.6,28.90040299366724,24.352331606217614,10.189982728842832,0.8059873344847437,36121970200,4.2,62797,69809,1820,95.4,4.6,7239,36.7,3.2186766127918225
4277,2.37,24.81804949053857,19.577874818049487,5.895196506550218,0.0,36121970300,6.2,69598,82075,1471,93.4,6.6,3257,47.1,0.0
4278,2.38,29.214195183776933,23.19391634980989,10.139416983523445,1.0139416983523446,36121970400,6.5,67750,74362,1784,88.5,11.5,3758,45.8,0.5854177754124534
4279,2.16,45.48752834467121,37.95918367346939,15.011337868480728,0.2267573696145125,36121970500,5.8,56438,74330,2324,94.9,5.1,4906,45.0,0.8764777823073787
4280,2.43,32.70405330372015,23.43142698500833,11.27151582454192,2.8872848417545804,36121970600,7.5,54638,68831,2181,82.6,17.4,4405,38.2,2.1566401816118046
4281,2.34,33.33333333333333,27.241962774957706,12.605752961082912,2.2842639593908634,36121970700,2.3,52083,63603,1793,65.9,34.1,2811,45.5,3.1305585200996084
4282,2.48,36.69185558354325,29.38706968933669,9.655751469353484,5.625524769101594,36121970800,7.1,51549,61101,1438,82.8,17.2,2956,40.3,1.1840324763193504
4283,2.43,29.929577464788732,25.58685446009389,8.685446009389672,0.9389671361502347,36121970900,1.9,60530,68315,958,88.9,11.1,2074,43.3,0.5303760848601736
4284,2.2,43.42672413793103,37.5,14.49353448275862,0.7004310344827587,36121971000,8.6,45323,57459,2057,90.2,9.8,4091,42.2,0.6844292349058909
4285,2.54,30.79150579150579,23.552123552123557,9.652509652509652,0.8687258687258688,36121971100,6.8,55921,65413,1214,85.3,14.7,2630,42.0,0.03802281368821293
4286,2.63,36.027515047291494,30.524505588993982,16.165090283748924,3.611349957007739,36123150100,5.7,52372,73650,3406,68.3,31.7,6227,41.6,0.016059097478721696
