BOROBOX,BOX_TYPE,LOCATION,ZIP,BOROUGH,COMMUNITYDISTICT,CITYCOUNCIL,LATITUDE,LONGITUDE,Location Point,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
X2940,ERS,WASHINGTON AVE & E 175 ST,10457,Bronx,BX06,15,40.84473793,-73.89934758,POINT (-73.89934758 40.84473793),10935,35,5,22,31
Q2935,ERS,E SVC RD WHITESTONE XWAY & 20 AVE,11357,Queens,QN07,19,40.78159908,-73.82453917,POINT (-73.82453917 40.78159908),14192,22,3,20,67
R1078,BARS,MEDFORD RD & SPRING ST,10304,Staten Island,SI02,50,40.60344781,-74.0957818,POINT (-74.0957818 40.60344781),10691,30,1,14,76
Q5996,ERS,RIDGEDALE ST & LUCAS ST,11413,Queens,QN12,27,40.68269064,-73.75317065,POINT (-73.75317065 40.68269064),15313,41,3,6,71
Q5695,BARS,89  AVE & 238 ST,11426,Queens,QN13,23,40.72853909,-73.72940055,POINT (-73.72940055 40.72853909),24335,63,3,16,63
R3887,ERS,RICHMOND AVE & HILLTOP RD,10312,Staten Island,SI03,51,40.53596707,-74.15704288,POINT (-74.15704288 40.53596707),10699,15,1,9,76
X3386,ERS,W KINGSBRIDGE RD & KINGSBRIDGE TER,10463,Bronx,BX07,14,40.87036128,-73.90442003,POINT (-73.90442003 40.87036128),11272,48,5,29,33
X2983,ERS,E TREMONT AVE & ANTHONY AVE,10457,Bronx,BX05,15,40.84869243,-73.90328063,POINT (-73.90328063 40.84869243),10935,6,5,22,29
M0402,ERS,CLINTON ST & STANTON ST,10002,Manhattan,MN03,1,40.72023424,-73.98447732,POINT (-73.98447732 40.72023424),11723,70,4,50,4
R1569,ERS,TODT HILL RD & LORTEL AVE,10314,Staten Island,SI02,50,40.6099798,-74.11788101,POINT (-74.11788101 40.6099798),10700,30,1,13,76
Q7276,BARS,THOMSON AVE & 31 ST,11101,Queens,QN02,26,40.7449612,-73.93541365,POINT (-73.93541365 40.7449612),16858,53,3,33,66
Q2658,ERS,DEXTER CT BTW 85 DR & 86 RD,11421,Queens,QN09,30,40.6932196,-73.86832929,POINT (-73.86832929 40.6932196),24017,46,3,34,60
X3901,ERS,NEW POST RD & W 251 ST,10471,Bronx,BX08,11,40.89563351,-73.89774546,POINT (-73.89774546 40.89563351),11609,48,5,40,33
M1548,ERS,MADISON AVE & E 133 ST,10037,Manhattan,MN11,9,40.810811,-73.93681514,POINT (-73.93681514 40.810811),13095,7,4,36,16
Q6321,BARS,THORNHILL AVE & DOUGLASTON PWAY,11362,Queens,QN11,19,40.75839378,-73.74014565,POINT (-73.74014565 40.75839378),14197,26,3,20,69
X2223,ERS,GRAND CONCOURSE & E 149 ST,10451,Bronx,BX04,17,40.81855963,-73.92731653,POINT (-73.92731653 40.81855963),10929,49,5,43,23
Q5664,BARS,104 AVE & 207 ST,11429,Queens,QN13,27,40.71052983,-73.75156614,POINT (-73.75156614 40.71052983),24338,63,3,6,63
Q6547,BARS,82 RD & 164 PL,11432,Queens,QN08,24,40.71802146,-73.80231867,POINT (-73.80231867 40.71802146),24340,25,3,24,65
M1888,ERS,HARLEM RV DR SVC/RD-900' N OF W159 ST,10039,Manhattan,MN10,9,40.83445073,-73.93605438,POINT (-73.93605438 40.83445073),13097,18,4,36,20
Q8566,ERS,86 AVE & 94 ST,11421,Queens,QN09,32,40.69563151,-73.85139704,POINT (-73.85139704 40.69563151),24017,46,3,41,60
Q7735,BARS,27 AVE & ASTORIA BLVD AT 99 ST,11369,Queens,QN03,21,40.76217105,-73.87040097,POINT (-73.87040097 40.76217105),14511,65,3,21,73
Q6102,BARS,35 AVE & 203 ST,11361,Queens,QN11,19,40.76609705,-73.7844317,POINT (-73.7844317 40.76609705),14196,26,3,20,69
R1131,ERS,SOUTH AVE AND RAILROAD BRIDGE,10303,Staten Island,SI01,49,40.63392479,-74.16633964,POINT (-74.16633964 40.63392479),10371,4,1,13,75
Q6401,BARS,VAN ZANDT AVE & BROWVALE LA,11362,Queens,QN11,19,40.7660823,-73.73171622,POINT (-73.73171622 40.7660823),14197,26,3,20,69
R1552,ERS,WESTWOOD AVE & MANOR RD,10314,Staten Island,SI02,49,40.60635867,-74.12092054,POINT (-74.12092054 40.60635867),10700,30,1,13,75
Q4389,BARS,149 ST & 15 DR,11357,Queens,QN07,19,40.78576659,-73.81636579,POINT (-73.81636579 40.78576659),14192,22,3,20,67
M1667,ERS,BROADWAY & W 155 ST,10032,Manhattan,MN12,7,40.83276546,-73.94582395,POINT (-73.94582395 40.83276546),13090,47,4,23,21
Q4270,BARS,132 ST & 15 AVE,11356,Queens,QN07,19,40.78463237,-73.83633431,POINT (-73.83633431 40.78463237),14191,22,3,20,67
X5117,ERS,FOOD CNT DR ENT TO HP CO-OP MEAT MARKET,10474,Bronx,BX02,17,40.80800116,-73.87189725,POINT (-73.87189725 40.80800116),12343,8,5,43,24
B0847,ERS,ROCKAWAY AVE & MAC DOUGAL ST,11233,Brooklyn,BK16,37,40.68023987,-73.91122493,POINT (-73.91122493 40.68023987),13516,55,2,37,46
