,total_housholds,family_housholds,nonfamily_housholds,householder_living_alone,householder_over65_living_alone,grandparents_responsible_for_grandchildren,avg_houshold_size,nonfamily_housholds%,lonely_housholder%,lonely_housholder_over65%,housholders_grandparents_responsible_for_grandchildren%,"not_us_citizen(abs, people)",geoid
16,1391,769,622,535,290,18,2.19,44.716031631919485,38.46153846153847,20.848310567936736,1.2940330697340043,21,36091062509
17,1955,1278,677,507,219,15,2.52,34.629156010230176,25.933503836317133,11.202046035805626,0.7672634271099744,43,36095740100
18,1227,841,386,336,150,12,2.45,31.458842705786473,27.383863080684595,12.224938875305623,0.9779951100244498,30,36095740600
19,1266,806,460,398,198,6,2.27,36.334913112164294,31.437598736176938,15.639810426540285,0.47393364928909953,34,36095740800
20,2765,1576,1189,955,296,0,2.23,43.00180831826401,34.53887884267631,10.705244122965642,0.0,75,36091061403
21,1440,1065,375,287,174,15,2.72,26.041666666666668,19.930555555555557,12.083333333333334,1.0416666666666665,111,36091062406
22,717,455,262,250,72,0,2.68,36.541143654114364,34.86750348675035,10.0418410041841,0.0,14,36093033300
23,2147,1490,657,530,197,28,2.49,30.600838379133677,24.685607824871912,9.175593851886353,1.304145319049837,127,36091062506
24,2203,1187,1016,715,405,48,2.29,46.11892873354517,32.4557421697685,18.384021788470267,2.1788470267816615,25,36095740200
25,2570,1779,791,557,278,34,2.38,30.77821011673152,21.673151750972764,10.817120622568094,1.3229571984435797,58,36089492300
26,1141,793,348,289,165,45,2.23,30.499561787905343,25.328659070990362,14.46099912357581,3.943908851884312,14,36089492500
27,2253,1510,743,602,322,104,2.31,32.978251220594764,26.71992898357745,14.292055037727474,4.61606746560142,22,36095740700
28,2375,1656,719,562,242,40,2.49,30.273684210526312,23.66315789473684,10.189473684210526,1.6842105263157894,87,36089492600
29,1685,980,705,563,145,40,2.31,41.839762611275965,33.41246290801187,8.605341246290802,2.3738872403560833,174,36091062507
30,2167,1445,722,598,330,28,2.45,33.317951084448545,27.5957544993078,15.228426395939088,1.2921089063221043,39,36095740400
31,5,5,0,0,0,0,1.8,0.0,0.0,0.0,0.0,71,36059981100
32,1353,545,808,689,162,0,1.87,59.719142645971914,50.92387287509239,11.973392461197339,0.0,345,36061003700
33,0,0,0,0,0,0,-666666666,,,,,0,36059990302
34,1332,526,806,421,105,0,2.27,60.51051051051051,31.606606606606608,7.882882882882883,0.0,596,36061008601
35,8145,3418,4727,3146,1260,115,2.05,58.035604665438925,38.62492326580724,15.469613259668508,1.4119091467157765,1883,36061004400
36,0,0,0,0,0,0,-666666666,,,,,0,36059990200
37,1579,1308,271,239,141,0,2.99,17.162761241291957,15.13616212792907,8.929702343255224,0.0,50,36059522700
38,43,28,15,14,8,0,2.4,34.883720930232556,32.55813953488372,18.6046511627907,0.0,0,36103147004
39,1202,654,548,493,124,0,2.21,45.59068219633943,41.01497504159734,10.316139767054908,0.0,19,36059416402
40,1055,835,220,169,119,0,2.93,20.85308056872038,16.018957345971565,11.27962085308057,0.0,61,36103135208
41,0,0,0,0,0,0,-666666666,,,,,0,36059990400
42,2457,1068,1389,1256,632,0,1.76,56.53235653235653,51.11925111925112,25.722425722425722,0.0,388,36061008603
43,1021,759,262,168,125,29,4.53,25.66111655239961,16.454456415279136,12.242899118511264,2.840352595494613,895,36103146106
44,23,16,7,0,0,0,3.91,30.434782608695656,0.0,0.0,0.0,153,36059982100
45,1158,852,306,231,104,0,2.61,26.42487046632124,19.94818652849741,8.981001727115718,0.0,160,36103135209
46,1083,933,150,134,93,0,3.07,13.850415512465375,12.3730378578024,8.587257617728532,0.0,80,36103158010
47,0,0,0,0,0,0,-666666666,,,,,54,36059980100
48,1632,1194,438,371,259,42,2.96,26.838235294117645,22.732843137254903,15.870098039215685,2.5735294117647056,55,36103147003
49,1855,922,933,631,200,0,2.31,50.29649595687331,34.01617250673855,10.781671159029651,0.0,157,36059416401
50,778,572,206,171,97,6,2.67,26.47814910025707,21.979434447300772,12.467866323907455,0.7712082262210797,27,36059416801
51,2007,801,1206,1096,418,0,1.87,60.0896860986547,54.60886895864474,20.827105132037868,0.0,246,36059416802
52,0,0,0,0,0,0,-666666666,,,,,0,36059990100
53,1469,1179,290,264,162,28,2.84,19.74132062627638,17.9714091218516,11.02791014295439,1.9060585432266848,16,36059521902
54,0,0,0,0,0,0,-666666666,,,,,0,36059990301
55,0,0,0,0,0,0,-666666666,,,,,0,36061008602
56,1429,880,549,443,126,0,2.62,38.4184744576627,31.00069979006298,8.81735479356193,0.0,852,36081013800
57,1610,913,697,425,127,0,2.4,43.29192546583851,26.39751552795031,7.888198757763975,0.0,928,36081014300
