,incident_year,incident_month,geoid,gas_leaks,gas_leaks_per_person,total_population
265,2013,1,36047049400,1,0.0001764602082230457,5667.0
266,2013,1,36047049800,1,0.000228675966155957,4373.0
267,2013,1,36047050400,1,0.0002195389681668496,4555.0
268,2013,1,36047050700,1,0.0004106776180698152,2435.0
269,2013,1,36047051300,1,0.0002409058058299205,4151.0
270,2013,1,36047051400,1,0.00014132278123233464,7076.0
271,2013,1,36047051500,1,0.0007168458781362007,1395.0
272,2013,1,36047051601,3,0.0005269629369401019,5693.0
273,2013,1,36047052000,1,0.00023719165085388995,4216.0
274,2013,1,36047052600,2,0.00044081992506061276,4537.0
275,2013,1,36047052700,1,0.00014988009592326138,6672.0
276,2013,1,36047052900,1,0.00024740227610094015,4042.0
277,2013,1,36047053100,1,0.0001210946960523129,8258.0
278,2013,1,36047054200,1,0.0002328830926874709,4294.0
279,2013,1,36047054500,4,0.0006044122091266244,6618.0
280,2013,1,36047054700,1,0.000196811651249754,5081.0
281,2013,1,36047055300,2,0.0007307270734380709,2737.0
282,2013,1,36047055600,1,0.0002720348204570185,3676.0
283,2013,1,36047056000,1,0.0003243593902043464,3083.0
284,2013,1,36047056500,2,0.0006391818472355385,3129.0
285,2013,1,36047056900,1,0.0006680026720106881,1497.0
286,2013,1,36047057000,3,0.0009022556390977444,3325.0
287,2013,1,36047057200,4,0.000866738894907909,4615.0
288,2013,1,36047058200,2,0.0006915629322268327,2892.0
289,2013,1,36047059402,2,0.0004363001745200698,4584.0
290,2013,1,36047060000,1,0.00018234865061998541,5484.0
291,2013,1,36047060800,1,0.0003274394237066143,3054.0
292,2013,1,36047061200,1,0.00099601593625498,1004.0
293,2013,1,36047062200,1,0.000315357931251971,3171.0
294,2013,1,36047062800,3,0.0005581395348837209,5375.0
295,2013,1,36047067600,2,0.0009760858955588092,2049.0
296,2013,1,36047067800,1,0.00039277297721916735,2546.0
297,2013,1,36047068000,1,0.0004982561036372695,2007.0
298,2013,1,36047069000,1,0.0006257822277847309,1598.0
299,2013,1,36047069601,1,0.00024515812699190976,4079.0
300,2013,1,36047069602,1,0.0001593879502709595,6274.0
301,2013,1,36047070201,1,0.00016025641025641026,6240.0
302,2013,1,36047070600,1,0.0003590664272890485,2785.0
303,2013,1,36047072200,3,0.000982961992136304,3052.0
304,2013,1,36047073200,1,0.00034916201117318437,2864.0
305,2013,1,36047074200,3,0.0008340283569641367,3597.0
306,2013,1,36047075000,1,0.00030845157310302283,3242.0
307,2013,1,36047075400,1,0.0006854009595613434,1459.0
308,2013,1,36047076000,1,0.0004027386226339106,2483.0
309,2013,1,36047076200,1,0.00021795989537925023,4588.0
310,2013,1,36047077400,1,0.00035236081747709656,2838.0
311,2013,1,36047078200,1,0.00024919013207077,4013.0
