,%housh_grandp_resp_for_grandch,avg_houshold_size,avg_bldg_age,gas_leaks,gas_leaks_per_person,geoid,lonely_housholder%,lonely_housholder_over65%,mean_houshold_income,median_age,nonfamily_housholds%,not_us_citizen%,total_housing_units,unemployed%,vacant_housing_units%
875,3.150592542634165,2.751666666666667,85.10022271714922,47,0.0016466960969798892,36047079602,31.92022352827825,9.866075729839098,51220.33333333334,34.86666666666667,43.00028904518739,18.313362763646555,12175,6.593791605353514,14.751540041067765
876,4.034434022870357,2.3200000000000003,97.91811846689896,45,0.002492936679408343,36047079801,31.131954259283052,7.5163818578954125,86496.5,37.75,41.128099704484136,12.193230291950586,8397,9.22386571381087,7.312135286411814
877,2.6310145134767997,2.4716666666666667,92.81168831168831,52,0.0015045425611943752,36047079802,31.257596339458065,4.6185743905054695,64553.5,34.0,44.770143704868815,22.58549852439095,14862,8.144783288004168,5.8874983178576255
878,0.8579482779752421,2.815,105.65717710518429,68,0.002951645108082299,36047080000,23.385218776810884,9.229072190219387,88747.0,39.35,28.643216080402013,12.448997308794164,8984,6.280927163816304,9.18299198575245
879,3.8420960084403024,2.6283333333333334,96.68899733806566,66,0.002214690782188517,36047080200,32.62704413574819,9.72393177422191,69254.33333333331,34.56666666666666,43.0719184104097,17.556457836985338,11949,5.919264454212946,4.8121181688844255
880,3.071042572821932,2.4933333333333336,88.14482165878815,60,0.003149771641555987,36047080400,32.97746144721233,6.616580993805194,65669.16666666669,34.45,42.53328061157243,21.880413670008927,8387,6.65651740248832,9.538571598903065
881,4.6414091989375095,3.27,77.0575682382134,112,0.0047602856171370285,36047080600,21.94883265762617,6.123304907032014,60385.0,27.11666666666667,34.79658884384175,17.22203332199932,7637,4.607276436586195,6.337567107502947
882,1.0211027910142956,1.39,57.51515151515152,35,0.004714439655172414,36047080800,68.34581347855682,51.32743362831861,14351.333333333336,61.26666666666667,69.29884275017018,20.15086206896552,1598,7.03125,8.072590738423031
883,2.4919155411831846,2.493333333333333,77.16045627376425,38,0.002851782363977486,36047081000,36.94122122883774,16.092828609473084,60118.66666666666,34.88333333333333,44.68327943694122,9.831144465290807,6161,5.0131332082551605,14.672942704106472
884,2.9527559055118107,2.67,84.90004063388865,33,0.0020209443321697594,36047081400,31.282808398950127,12.073490813648293,56979.33333333334,36.98333333333333,39.69816272965879,17.790434196827732,6802,6.6997366648294445,10.379300205821817
885,1.818823944905527,2.865,91.53870967741936,28,0.0017101325352714837,36047081600,24.2274412855377,7.063393960798162,55281.0,38.68333333333333,28.20060038848667,21.07738349722103,6349,4.8677701093263295,10.804851157662624
886,4.860193187595323,2.69,93.17838246409677,39,0.0014139143675452276,36047081800,37.21403152008134,10.503304524656839,61628.66666666666,32.71666666666667,44.29079816980173,25.99789725555596,10936,3.4405249610267195,10.0676664228237
887,6.034639927073838,2.728333333333333,89.74877250409166,145,0.004839624845632657,36047082000,27.538742023701,6.90975387420237,70981.16666666669,31.95,35.86144029170465,25.9570775341277,12519,6.989085811555022,12.373192747024524
888,3.892576946288473,2.5933333333333333,91.33941605839416,126,0.0028481012658227852,36047082200,33.15630657815329,11.496680748340376,53026.33333333334,35.16666666666667,38.76282438141219,21.09403254972875,18442,4.556962025316456,10.150742869536924
889,3.1808932205205096,2.7466666666666666,88.90166782487839,65,0.002535299165301505,36047082400,34.090178858305656,12.038127878333512,58144.5,32.75,40.49480561208097,22.28722989312739,11194,6.4513612606287545,16.589244237984637
890,2.595019659239844,2.7433333333333327,95.947504302926,71,0.002266053874632963,36047082600,30.083005679335947,12.171253822629971,58927.0,37.71666666666667,34.006116207951074,21.422188178220352,12839,7.219456147070089,10.85754342238492
891,1.965666360896344,3.026666666666668,90.62765957446808,30,0.0012909888974954814,36047082800,26.418555890446854,6.9060411479491535,62433.66666666666,33.916666666666664,29.982964224872237,20.737584990102416,9000,4.694896290558568,15.211111111111116
892,1.3110578363799819,2.81,93.7412109375,54,0.001440307265549984,36047083000,26.700629307761464,7.6116272100689235,56060.0,35.51666666666666,31.4204375187294,31.48938440200576,14355,3.112664034994132,7.014977359804946
893,4.357904496986556,3.1666666666666665,92.33962264150944,15,0.0010976948408342481,36047083200,21.001390820584145,9.874826147426981,70594.33333333331,39.216666666666654,23.690310616597127,14.277350896450784,4777,4.895718990120746,9.69227548670714
