,geoid,White,Black | Afr American,American Indian|Alaska Native,Asian,Native Hawaiian,Other race,Hispanic|Latino (any race),Asian:Asian Indian,Asian:Chinese,Asian:Filipino,Asian:Japanese,Asian:Korean,Asian:Vietnamese,Asian:Other Asian,Hispanic|Latino: Mexican,Hispanic|Latino: Puerto Rican,Hispanic|Latino: Cuban,total_population,incident_year,Two races,gas_leaks,gas_leaks_per_person
543,36047030100,802.0,13932.0,0.0,973.0,0.0,333.0,1330.0,240.0,8.0,0.0,0.0,0.0,0.0,725.0,2.0,743.0,104.0,16212.0,12093,172.0,109,0.006723414754502837
544,36047030200,9058.0,248.0,0.0,16077.0,0.0,839.0,1673.0,253.0,14915.0,60.0,0.0,70.0,452.0,327.0,230.0,549.0,0.0,26511.0,12093,289.0,30,0.0011316057485572027
545,36047030300,461.0,25624.0,28.0,296.0,0.0,3647.0,5433.0,211.0,0.0,35.0,0.0,0.0,0.0,50.0,530.0,2256.0,60.0,30288.0,12093,232.0,115,0.0037968832540940306
546,36047030400,12225.0,269.0,0.0,10012.0,0.0,514.0,1601.0,0.0,9054.0,0.0,0.0,177.0,0.0,781.0,309.0,347.0,0.0,23773.0,12093,753.0,39,0.0016405165523913684
547,36047030500,14830.0,15196.0,82.0,2527.0,0.0,3082.0,5131.0,183.0,531.0,172.0,253.0,157.0,144.0,1087.0,1299.0,1136.0,84.0,36328.0,12093,611.0,28,0.0007707553402334288
548,36047030600,4911.0,22.0,0.0,4164.0,0.0,559.0,909.0,75.0,3958.0,0.0,0.0,0.0,19.0,112.0,495.0,220.0,0.0,9846.0,10077,190.0,18,0.0018281535648994515
549,36047030700,1272.0,21935.0,0.0,182.0,0.0,3545.0,6521.0,0.0,182.0,0.0,0.0,0.0,0.0,0.0,250.0,2333.0,40.0,27177.0,12093,243.0,343,0.012620966258233064
550,36047030800,9531.0,116.0,0.0,1962.0,0.0,227.0,1809.0,0.0,1644.0,0.0,0.0,0.0,18.0,300.0,663.0,510.0,0.0,11836.0,12093,0.0,57,0.004815816154106117
551,36047030900,629.0,10202.0,0.0,1048.0,0.0,326.0,1392.0,895.0,119.0,18.0,16.0,0.0,0.0,0.0,71.0,688.0,26.0,12440.0,12093,235.0,83,0.006672025723472669
552,36047031100,1563.0,14985.0,0.0,86.0,0.0,749.0,2031.0,43.0,43.0,0.0,0.0,0.0,0.0,0.0,42.0,250.0,152.0,17899.0,12093,516.0,64,0.0035756187496508184
553,36047031300,2988.0,22280.0,38.0,392.0,0.0,861.0,2617.0,115.0,0.0,209.0,0.0,0.0,0.0,68.0,21.0,714.0,19.0,26911.0,12093,352.0,60,0.0022295715506670134
554,36047031400,17043.0,432.0,17.0,4999.0,0.0,369.0,1745.0,148.0,4308.0,0.0,0.0,0.0,27.0,516.0,1.0,692.0,31.0,22860.0,10075,0.0,19,0.0008311461067366579
555,36047031500,7602.0,18458.0,0.0,676.0,251.0,942.0,2219.0,220.0,133.0,157.0,0.0,98.0,68.0,0.0,42.0,1066.0,0.0,28901.0,12093,972.0,51,0.0017646448219784782
556,36047031701,4662.0,13359.0,43.0,857.0,0.0,344.0,766.0,90.0,221.0,79.0,136.0,16.0,0.0,315.0,86.0,406.0,73.0,19652.0,12093,387.0,96,0.004884998982291879
557,36047031702,5599.0,13429.0,0.0,795.0,0.0,1852.0,3407.0,75.0,190.0,0.0,363.0,0.0,0.0,167.0,478.0,468.0,118.0,22385.0,12093,710.0,63,0.0028143846325664507
558,36047031900,6088.0,14868.0,0.0,102.0,0.0,301.0,1685.0,0.0,0.0,0.0,52.0,0.0,0.0,50.0,75.0,562.0,72.0,21467.0,12093,108.0,101,0.004704895886709834
559,36047032100,6798.0,25379.0,0.0,1035.0,0.0,1750.0,4223.0,1.0,149.0,34.0,66.0,660.0,0.0,125.0,250.0,542.0,0.0,35131.0,12093,169.0,47,0.0013378497623181805
560,36047032300,3354.0,16694.0,0.0,531.0,0.0,1055.0,2322.0,161.0,60.0,152.0,0.0,122.0,36.0,0.0,115.0,187.0,61.0,22294.0,12093,660.0,114,0.00511348344846147
